To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,237,T1  P1  R3,HyD 2,1,-0.00000406566398164248,0.00156867494998533,691.515835408725,1,5,0.174276330463059,40,772.026672130562,1281.98033714776,39.3557328041495,0.329940070001714,1.64970035000857,0.668738419981232,1
,238,T1  P1  R3,HyD 2,1,0.0000784690089833546,0.00160443552679299,770.379338573104,1,5,0.172440886813539,40,753.145186046861,1250.62689461884,35.3268981727779,0.329940070001714,1.64970035000857,0.516388379762361,1
,239,T1  P1  R3,HyD 2,1,-0.0000263004086591669,0.00166400661218698,652.213235180426,1,5,0.072978912017048,40,648.269125954561,1076.47611495107,41.7273231823566,0.329940070001714,1.64970035000857,0.459827122506429,1
,240,T1  P1  R3,HyD 2,1,0.0000847327890847585,0.00155757088777047,624.166157871197,1,5,0.106275420472979,40,718.370478245055,1192.88213884642,43.6023518817566,0.329940070001714,1.64970035000857,0.665801225099511,1
,241,T1  P1  R1,HyD 2,1,0.000015326921347811,0.0077064850657765,1036.67896283221,1,5,0.328688111416548,40,193.294421527722,320.972910165184,26.2522086623927,0.329940070001714,1.64970035000857,1.03230243705931,1
,242,T1  P1  R1,HyD 2,1,0.0000743167711396957,0.0109219300386858,1542.76729684623,1,5,0.496004734621785,40,181.666208842513,301.663810419355,17.6404520006471,0.329940070001714,1.64970035000857,0.774332319100697,1
,243,T1  P1  R1,HyD 2,1,0.00040306393119916,0.00795445348159105,856.201091481431,1,5,0.222526358666354,40,161.697751017673,268.505409008219,31.7858885242664,0.329940070001714,1.64970035000857,1.06309673341049,1
,244,T1  P1  R1,HyD 2,1,0.000180580680201871,0.00949528116416663,1071.83632801612,1,5,0.418853887478335,40,181.220295343458,300.923353698761,25.3911084526842,0.329940070001714,1.64970035000857,0.845208220153164,1
,245,T1  P1  R1,HyD 2,1,0.0000248185767615476,0.0080464111824064,719.053455520437,1,5,0.281582927272716,40,172.990053764035,287.256717226632,37.8485246670378,0.329940070001714,1.64970035000857,0.943138777896976,1
,246,T1  P1  R1,HyD 2,1,0.0003832544771164,0.00865727500528536,2007.73984244875,1,5,0.471249197137866,40,218.457896072944,362.757839035928,13.5550990585468,0.329940070001714,1.64970035000857,1.49508013322963,1
,247,T1  P1  R1,HyD 2,1,-0.00000037920888549984,0.00858838840667552,920.243534956432,1,5,0.317589949746619,40,170.625095973926,283.329612769556,29.5738154242751,0.329940070001714,1.64970035000857,1.17209833281384,1
,248,T1  P1  R1,HyD 2,1,0.00015133692565393,0.00909729526750541,794.648446327335,1,5,0.310710183521233,40,159.472516319952,264.810320184221,34.2479905094705,0.329940070001714,1.64970035000857,0.911453501126904,1
,249,T1  P1  R1,HyD 2,1,0.000261650078144992,0.00749762368550631,863.036000891133,1,5,0.239711617767812,40,175.427634343381,291.304414651788,31.5341566517305,0.329940070001714,1.64970035000857,0.858356177860012,1
,250,T1  P1  R1,HyD 2,1,-0.0000248437004912591,0.0083341291934379,634.368003404939,1,5,0.0387644856593507,40,124.827411096227,207.28077453697,42.9011430307144,0.329940070001714,1.64970035000857,1.15747246476808,1
,251,T1  P1  R2,HyD 2,1,-0.0000193901491989601,0.00736556772441765,756.989234004538,1,5,0.10895554917599,40,152.368223150439,253.013364869821,35.9517827013387,0.329940070001714,1.64970035000857,0.817537896925283,1
,252,T1  P1  R2,HyD 2,1,-0.0000785305085778298,0.00795965697517831,1007.46036808794,1,5,0.224498085745451,40,162.002894374204,269.012111428232,27.0135811891395,0.329940070001714,1.64970035000857,0.985564150345173,1
,253,T1  P1  R2,HyD 2,1,0.000142601517911054,0.00859052893542601,992.64711019807,1,5,0.302447949556772,40,166.879686547879,277.110214642405,27.416704454772,0.329940070001714,1.64970035000857,1.09519245333338,1
,254,T1  P1  R2,HyD 2,1,-0.000112540396604323,0.00779274367528363,750.844060362556,1,5,0.192565643820951,40,158.928719420563,263.90732426765,36.2460248204438,0.329940070001714,1.64970035000857,0.994783020201684,1
,255,T1  P1  R2,HyD 2,1,0.000025735472488973,0.0087490115629292,1133.44873922045,1,5,0.304834850593321,40,164.419384430159,273.024787218433,24.0108895148639,0.329940070001714,1.64970035000857,0.83164590067317,1
,256,T1  P1  R2,HyD 2,1,0.0000220686209189223,0.00866742533096625,843.925490277775,1,5,0.300679032592309,40,164.980775760524,273.956999372435,32.2482408242299,0.329940070001714,1.64970035000857,0.896934567339593,1
,257,T1  P1  R2,HyD 2,1,0.0000473951394799927,0.00715051326239692,856.006169469186,1,5,0.13028640352787,40,160.800177546778,267.014953325311,31.7931265204084,0.329940070001714,1.64970035000857,0.847359241244053,1
,258,T1  P1  R2,HyD 2,1,0.0000211610620713781,0.00928280820828619,1393.35847249238,1,5,0.320551969918212,40,158.549318114113,263.277313631598,19.5320249494036,0.329940070001714,1.64970035000857,0.89228141875202,1
,259,T1  P1  R2,HyD 2,1,-0.0000338748609267331,0.00878905944774521,1249.71067288289,1,5,0.353744403354795,40,176.056993364596,292.349489801818,21.7771305300634,0.329940070001714,1.64970035000857,1.04864859533062,1
,260,T1  P1  R2,HyD 2,1,-0.000050183075913828,0.00908476468561345,1340.53875687343,1,5,0.264073992301036,40,149.57264240794,248.371194240015,20.3016229919815,0.329940070001714,1.64970035000857,0.780897839799172,1
,261,T1  P1  R3,HyD 2,1,-0.0000532774713497009,0.00810975239791808,1206.73039313543,1,5,0.246721816708152,40,163.695603648928,271.822921060905,22.5527695357629,0.329940070001714,1.64970035000857,0.714712747054594,1
,262,T1  P1  R3,HyD 2,1,0.00004575369183638,0.00956421860486266,814.244490095388,1,5,0.302036134490592,40,149.801984515806,248.752025736357,33.4237600367376,0.329940070001714,1.64970035000857,0.914243361494471,1
,263,T1  P1  R3,HyD 2,1,-0.000280012356417904,0.00949467260368356,2098.85161492992,1,5,0.396298120590882,40,174.460646769628,289.698694149415,12.9666681792046,0.329940070001714,1.64970035000857,1.13373818590327,1
,264,T1  P1  R3,HyD 2,1,-0.000151297289350056,0.00910170850283732,1458.69972836765,1,5,0.36219342752144,40,172.261445559358,286.046834944582,18.657103939163,0.329940070001714,1.64970035000857,1.25863843730083,1
,265,T1  P1  R3,HyD 2,1,-0.000130491515154152,0.00910631499176708,1752.79700452741,1,5,0.401083643978104,40,183.354324628058,304.466992384461,15.5266767217701,0.329940070001714,1.64970035000857,1.15968490377482,1
,266,T1  P1  R3,HyD 2,1,-0.000101541176798638,0.00728661880202616,821.801646967391,1,5,0.117333752728205,40,155.481037595509,258.182314409812,33.1164004703727,0.329940070001714,1.64970035000857,1.16215959819396,1
,267,T1  P1  R3,HyD 2,1,-0.000248830687414149,0.00812943892953819,1246.13627745322,1,5,0.289813670432761,40,173.20766970818,287.618076971721,21.8395956691066,0.329940070001714,1.64970035000857,0.82384038052831,1
,268,T1  P1  R3,HyD 2,1,-0.000109769195236215,0.00841521132331903,992.205859327961,1,5,0.20997796074632,40,150.416599596275,249.772617998929,27.4288971309011,0.329940070001714,1.64970035000857,0.717679981952935,1
,269,T1  P1  R3,HyD 2,1,-0.0000198316234493097,0.00911100810162995,1160.39316350216,1,5,0.369598184586476,40,174.106951764598,289.111369827389,23.4533546940648,0.329940070001714,1.64970035000857,0.808251042001565,1
,270,T1  P1  R3,HyD 2,1,-0.000117779368163939,0.00767534550989036,1167.59124630903,1,5,0.159773438712184,40,155.062099193037,257.486650886992,23.308767117102,0.329940070001714,1.64970035000857,1.06522178756303,1
,271,T1  P1  R1,HyD 2,1,-0.0000391883778573932,0.00407982629472661,1058.88099913644,1,5,0.101790919477868,40,272.885767891437,453.137438579487,25.7017667427965,0.329940070001714,1.64970035000857,0.87302367654429,1
,272,T1  P1  R1,HyD 2,1,0.0000119527851782944,0.00483648346748861,1413.74085924601,1,5,0.228105730407064,40,267.862844016282,444.79667798741,19.2504250479813,0.329940070001714,1.64970035000857,0.851967390110383,1
,273,T1  P1  R1,HyD 2,1,0.000125246678812754,0.00579595762308866,1028.60476897313,1,5,0.286415280716947,40,241.784945827147,401.493313065637,26.4582794763368,0.329940070001714,1.64970035000857,0.782834208627345,1
,274,T1  P1  R1,HyD 2,1,-0.0000134455559395826,0.00508536718611289,1686.86082000764,1,5,0.290311858765472,40,277.083162169597,460.10737514529,16.1335850150701,0.329940070001714,1.64970035000857,1.08848595029987,1
,275,T1  P1  R1,HyD 2,1,0.0000752923525811832,0.00522911924269532,881.247738759221,1,5,0.225966283093784,40,247.065198756332,410.261378567444,30.8824763471193,0.329940070001714,1.64970035000857,0.890059862069037,1
,276,T1  P1  R1,HyD 2,1,0.0000584811092398889,0.00448277857869846,889.391618995056,1,5,0.0630773444423455,40,238.094285138104,395.364827347158,30.5996951926925,0.329940070001714,1.64970035000857,0.991988352815416,1
,277,T1  P1  R1,HyD 2,1,0.000202145161172843,0.00551133651973814,885.241230730361,1,5,0.317546442414782,40,265.87038734196,441.48812613123,30.7431596082916,0.329940070001714,1.64970035000857,1.13900369158953,1
,278,T1  P1  R1,HyD 2,1,0.000023945564762103,0.00726391325529903,1866.36087651302,1,5,0.50017655396624,40,275.430941285532,457.363798061159,14.5819132787603,0.329940070001714,1.64970035000857,0.950376476032949,1
,279,T1  P1  R1,HyD 2,1,0.000049611690923833,0.00531122003165743,1451.89748413284,1,5,0.278092900186853,40,260.810092611011,433.085309778594,18.744513814237,0.329940070001714,1.64970035000857,1.11977403342433,1
,280,T1  P1  R1,HyD 2,1,-0.0000246877854312537,0.0047886253330816,612.902363321173,1,5,0,40,208.828198166106,346.767350863842,44.4036670061309,0.329940070001714,1.64970035000857,1.17871889851652,1
,281,T1  P1  R2,HyD 2,1,0.0000574259650215356,0.00603041638336495,770.085503950598,1,5,0.215723689267383,40,211.438272949804,351.101481628977,35.3403775406346,0.329940070001714,1.64970035000857,1.00910719201599,1
,282,T1  P1  R2,HyD 2,1,0.000163216900600377,0.00529469767384578,906.647167647913,1,5,0.0334999877859805,40,195.414582500035,324.493519978564,30.0173137018531,0.329940070001714,1.64970035000857,0.988813873273831,1
