To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,74,T1  P1  R1,HyD 2,1,0.000207201777196427,0.00902417645530331,1170.26115783068,1,5,0.383330560516902,40,179.696655770307,298.393290885918,23.255588947883,0.329940070001714,1.64970035000857,1.42683420318226,1
,75,T1  P1  R1,HyD 2,1,0.000198560365448806,0.0080652469079132,761.255656612048,1,5,0.225523180369633,40,160.09357726319,265.8416160528,35.7502925749075,0.329940070001714,1.64970035000857,1.54644890708416,1
,76,T1  P1  R2,HyD 2,1,0.0000454458176923133,0.00792003205960971,829.896798247531,1,5,0.208712173592656,40,159.565345186239,264.964466129687,32.7933696161419,0.329940070001714,1.64970035000857,0.893142609396947,1
,77,T1  P1  R2,HyD 2,1,0.0000364696737857949,0.00813393654105483,917.882088478049,1,5,0.241517353410535,40,162.089010563288,269.155110711938,29.6499003410228,0.329940070001714,1.64970035000857,0.879282303948243,1
,78,T1  P1  R2,HyD 2,1,-0.0000266002938319853,0.00903286565463641,1276.51109591498,1,5,0.313470094891165,40,161.255668198165,267.771313280106,21.3199184364917,0.329940070001714,1.64970035000857,0.842849168970671,1
,79,T1  P1  R3,HyD 2,1,0.0000217822861100683,0.00883317662913776,1200.49084955973,1,5,0.318747657633519,40,166.178592685815,275.946020997151,22.6699874123696,0.329940070001714,1.64970035000857,1.38819780699144,1
,80,T1  P1  R3,HyD 2,1,-0.000105117496062147,0.00855947250492431,1278.45384407346,1,5,0.312807414870279,40,170.010026092909,282.308265292974,21.2875205267248,0.329940070001714,1.64970035000857,1.20036722750167,1
,81,T1  P1  R3,HyD 2,1,0.0000406783711240557,0.0086610239330584,1112.00069048117,1,5,0.273751910118512,40,158.981195392536,263.994462661529,24.4740067889777,0.329940070001714,1.64970035000857,0.876089816059784,1
,82,T1  P1  R1,HyD 2,1,0.0000982093661476667,0.00482998539586512,1140.42405787493,1,5,0.205000644528063,40,260.427838162893,432.450561389756,23.8640287007771,0.329940070001714,1.64970035000857,0.759654917613568,1
,83,T1  P1  R1,HyD 2,1,0.000117951413342817,0.00515251633469517,889.880174567444,1,5,0.234003155957463,40,253.369096300778,420.729245794195,30.5828955695218,0.329940070001714,1.64970035000857,0.940951778435894,1
,84,T1  P1  R1,HyD 2,1,0.000213019940178551,0.00539434901717266,1036.17673885856,1,5,0.245141821777138,40,245.581469239041,407.797587955697,26.2649328319836,0.329940070001714,1.64970035000857,0.918347657974915,1
,85,T1  P1  R2,HyD 2,1,0.000164071807629859,0.00527590403839194,786.541915717069,1,5,0.0965523546379188,40,209.797409774341,348.376764462032,34.6009690066838,0.329940070001714,1.64970035000857,0.803061267759375,1
,86,T1  P1  R2,HyD 2,1,0.0000590484281638355,0.00555976831052231,1111.95365882127,1,5,0.303732584789002,40,258.325474140456,428.959504104321,24.4750419518682,0.329940070001714,1.64970035000857,0.648033728176173,1
,87,T1  P1  R2,HyD 2,1,0.0000685893209893816,0.00466128099571731,803.608636833502,1,5,0.0944529250607665,40,236.910158702048,393.398539312664,33.8661273669495,0.329940070001714,1.64970035000857,0.751764700280556,1
,88,T1  P1  R3,HyD 2,1,0.000105830662948102,0.00605147318001258,811.350101802719,1,5,0.36483411694656,40,260.16670972812,432.016947460427,33.542995049505,0.329940070001714,1.64970035000857,0.978080150918029,1
,89,T1  P1  R3,HyD 2,1,0.000279815112196791,0.00536228359216016,833.660826037157,1,5,0.211416483912372,40,236.484416084977,392.691577126674,32.6453056185358,0.329940070001714,1.64970035000857,0.802453474157454,1
,90,T1  P1  R3,HyD 2,1,0.0000410436040591565,0.00520655711086921,1193.99868129593,1,5,0.249162152413789,40,255.80157103226,424.768464760248,22.7932516798474,0.329940070001714,1.64970035000857,1.14905603047411,1
,91,T1  P1  R1,HyD 2,1,0.0000170361272646451,0.000311088884472637,539.363214281546,1,5,0,40,3214.51536815665,5337.82788108024,50.4578579472381,0.329940070001714,1.64970035000857,0.170840269707765,1
,92,T1  P1  R1,HyD 2,1,0.0000170646929285572,0.000395031216673697,658.19470268098,1,5,0.18780222722571,40,3116.78460033763,5175.54213733439,41.3481183262802,0.329940070001714,1.64970035000857,0.197056626937542,1
,93,T1  P1  R1,HyD 2,1,0.0000189539374878322,0.000380331430300104,563.768928424081,1,5,0.126713996230084,40,3010.79567569874,4999.54340277316,48.2735232043723,0.329940070001714,1.64970035000857,0.119546267252542,1
,94,T1  P1  R2,HyD 2,1,0.0000140178589455531,0.000412263307883458,621.899059448288,1,5,0.213712779528738,40,3084.92137194719,5122.63200644233,43.761301829798,0.329940070001714,1.64970035000857,0.124323024217708,1
,95,T1  P1  R2,HyD 2,1,0.000012570831624559,0.000376198640982624,724.021939404911,1,5,0.136291371435252,40,3077.62371196643,5110.51395801182,37.5887952657245,0.329940070001714,1.64970035000857,0.132843712928277,1
,96,T1  P1  R2,HyD 2,1,0.00002243890146764,0.000374531865107498,721.841189978949,1,5,0.173598479977729,40,3230.87472874351,5364.99323605791,37.7023545150945,0.329940070001714,1.64970035000857,0.131539018665757,1
,97,T1  P1  R3,HyD 2,1,0.0000470432419168532,0.000346126530467704,553.802856729674,1,5,0.0392590302996391,40,3007.17567580086,4993.53225204861,49.1422391875968,0.329940070001714,1.64970035000857,0.141769232981047,1
,98,T1  P1  R3,HyD 2,1,0.0000162140984390633,0.000388614217676926,811.366946171294,1,5,0.286395336579539,40,3605.98266846191,5987.87456954851,33.5422986807727,0.329940070001714,1.64970035000857,0.149052682127039,1
,99,T1  P1  R3,HyD 2,1,0.0000232617767339773,0.000394628329053229,596.294683994283,1,5,0.131723492336237,40,2918.45963252166,4846.21580926351,45.6403740947067,0.329940070001714,1.64970035000857,0.104284121900103,1
