,name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz),fit_with,correlator,artifact,correction,correlator-fit_with
43,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488189_T2255s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005183349717032,,0.068586791472025,,14.580066781632103,23.69068750344131,1,,0.0399460682103618,,5,,1.0,,73.9705539589863,4.66981883343506,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
44,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488190_T2267s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0003815172144669,,0.0695597069614406,,14.376138768875697,24.06977428158657,1,,0.0397005633159603,,5,,1.0,,75.72281884394393,4.5699266288884735,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
45,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488197_T2351s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005704925209963,,0.0692391411072438,,14.442697930800575,23.860403780047,1,,0.0420956974157501,,5,,1.0,,70.9498535625118,4.8573157929167285,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
46,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488199_T2375s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004980606537779,,0.0681685305922507,,14.66952553197147,23.537519422051616,1,,0.0407852353928579,,5,,1.0,,72.68246103490424,4.750823113541583,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
47,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488204_T2434s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005390935666167,,0.0684029240972728,,14.619258068236132,23.561994303501297,1,,0.0406405934398501,,5,,1.0,,73.5772760168384,4.681827435311981,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
48,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488208_T2481s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005885390542949,,0.0697652980860838,,14.333773773403708,24.03741532994085,1,,0.0392394684170216,,5,,1.0,,74.3759768264368,4.632733914402436,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
49,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488210_T2505s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0007578034263806,,0.0696952368240575,,14.348182825240327,23.94484281918056,1,,0.0391117030860928,,5,,1.0,,73.8578062801514,4.651941175863778,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
50,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488221_T2637s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0007652667618321,,0.0691112119937447,,14.469432254935858,23.805026800122544,1,,0.0415621997304676,,5,,1.0,,69.48951997917656,4.957041787784908,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
51,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488227_T2709s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005207808435392,,0.0687858588065782,,14.537871843861698,23.662920401748917,1,,0.0402558674421449,,5,,1.0,,75.29833168156436,4.568835808974608,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
52,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488229_T2733s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:15,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004713443775781,,0.0703110663961044,,14.222512205495498,24.16454528598252,1,,0.0405615075067096,,5,,1.0,,71.17398437681659,4.828979812819313,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
