Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
11.264,0.0011941769276854006,0.0012625223460585163,0.0013825063417789542,0.0013526514062688609,0.001001946331051892,0.0012599115136769316,
12.288,0.0008032468314186655,0.0011823880957005282,0.0011160199554737116,0.0012683162140158706,0.000832091691005484,0.0011796376179892716,
13.312000000000001,0.0008375930321801587,0.0011159127058273394,0.0011670723153254796,0.001198307424754536,0.0007729982292466433,0.0011130281951167653,
14.336,0.0007312212915571136,0.0010600260740190257,0.0010741301014503813,0.0011394136308940464,0.00048738774632031554,0.0010570151694980715,
15.36,0.0003267768532109532,0.0010124959298017837,0.0011623325099613777,0.0010892978824457778,0.0006126212978976202,0.0010093670134974449,
16.384,0.00037046204644268754,0.0009716632925560566,0.000935143925228718,0.0010462220839866994,-0.000015569031160302074,0.0009684248012085382,
18.432000000000002,0.0004514301904602547,0.0009053530814448426,0.00046674809131141796,0.0009762228356777763,0.00025245425059203025,0.000901919354461254,
20.48,0.0002950027305187696,0.0008540674565535465,0.0005395395387383269,0.0009220415593887097,0.0004617492900021734,0.0008504668651915298,
22.528,0.00024021184054824225,0.0008134244174649956,0.0006840600882201383,0.0008790750741238005,0.0008566981514913339,0.0008096808839866047,
24.576,0.000619825873896972,0.0007805621280654546,0.00041081827953053833,0.0008443141316989242,0.0013460340884758073,0.000776695557315838,
26.624000000000002,0.0004140985474641575,0.00075353941196735,0.0002575291403482543,0.0008157158083167598,0.0009448645130597186,0.00074956632450781,
28.672,0.0005472505688007927,0.000730997354980754,0.0006351832998571106,0.0007918488752941861,0.0005934755292939157,0.0007269314952088778,
30.72,0.0005175605494534394,0.000711958884217205,0.00030968684854966813,0.0007716835700548122,0.0008143615434244943,0.0007078117404060952,
32.768,0.0003716684626211681,0.0006957051718307925,0.0002777573607208595,0.0007544618435464261,0.001133134878905033,0.0006914864013062888,
36.864000000000004,0.00005324501273356209,0.0006695215945124359,0.0003766243069723485,0.0007267065354539885,0.000744511714931851,0.0006651828559821505,
40.96,0.00017407909480246877,0.0006494612523369203,0.00015199188880550337,0.0007054310299147855,0.00025757139632412316,0.0006450265173978853,
45.056,0.00022327301829495346,0.0006336897488911549,0.00018794687672130716,0.0006886969585045161,-0.00015952908466186999,0.0006291768675266633,
49.152,0.0003568817269777801,0.0006210238696247874,0.00029464124915378745,0.0006752531590003887,-0.000008900021875944759,0.0006164464138371673,
53.248000000000005,0.00019247159427580459,0.0006106696013212125,0.00013942841095147747,0.0006642595156727772,-0.00018891769055719612,0.000606038084199625,
57.344,0.00021911704270669605,0.0006020762644423697,0.00021971707281786035,0.0006551330729753,0.00005606620619080679,0.0005973989652055678,
61.44,0.0004286789269775073,0.0005948511521500679,0.00014251360921524345,0.000647457919352966,-0.00014884420384133942,0.0005901346871904029,
65.536,0.0001698945489058193,0.0005887074459953289,0.00027436940090492157,0.0006409301679888363,-0.000050604551558211,0.000583957172456979,
73.72800000000001,0.00032732742349898645,0.0005788602852583552,0.0002752739702056387,0.0006304647084245744,0.00018097536768513838,0.0005740548050548269,
81.92,0.00024207478769395206,0.0005713599082576707,0.00035654004420489747,0.0006224909799621832,-0.00021497168268334751,0.0005665114876063025,
90.112,0.00026520160191055396,0.0005654914998661884,-0.00014942343465698885,0.0006162506676741353,-0.00008538790065530634,0.0005606089096897003,
98.304,0.00008199720389217483,0.0005607977565906255,0.0001454272793814598,0.0006112584291852051,0.00010198470081162804,0.0005558874538769374,
106.49600000000001,0.00030167314849300025,0.000556973911777544,0.00027338544369868696,0.0006071906944987701,-0.00017244685465140236,0.0005520407680342251,
114.688,-0.00015672138719064195,0.0005538098428207781,-0.000020422541880015026,0.000603824308425569,-0.00012603037761097267,0.0005488576110466205,
122.88,0.0002770691802427909,0.0005511564685208394,-0.00012683763228604764,0.0006010009013618432,-0.0003330882848315398,0.0005461880926435171,
131.072,0.00025352792535142274,0.0005489053905968241,-0.00037472886623867563,0.000598605294892086,-0.0006088997208837208,0.000543923216467844,
147.45600000000002,0.0003526000646007018,0.0005453076844971469,-0.00023555652520574675,0.000594776050942944,-0.00007018084871193941,0.0005403032544930342,
163.84,0.000281638540754337,0.0005425763637807689,0.00008374590374850205,0.0005918684740129174,-0.00012997171172327574,0.0005375548614712877,
