Time (ms),hs-pex5_noc,hs-pex5_noc fitted model: ,tb-pex5_noc,tb-pex5_noc fitted model: ,tb-pex5_0cd20,tb-pex5_0cd20 fitted model: ,tb-pex5_thr-7,tb-pex5_thr-7 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.090106,0.6042357722046017,0.5919913434547202,0.8475987812734908,0.8339962815535228,0.6311153175353709,0.6192385235442591,0.6240033427514667,0.6110726004089218,
0.098298,0.5900700874703877,0.5780727553017182,0.83324269406232,0.8180850202736406,0.6164551099060575,0.6040742731427148,0.6101684352151634,0.5962783367120801,
0.114682,0.5651676952500084,0.553245639483196,0.8018071884377518,0.7896044399180101,0.5890978448341337,0.5769288694060271,0.5817985142568928,0.5699426228156422,
0.131066,0.5423113482556862,0.531522234715646,0.7753307105869417,0.7645455845440883,0.5638053305570162,0.5531003099256889,0.5566097056879165,0.5469696404991461,
0.14745,0.5204695355159215,0.5121329342773797,0.7495827615086958,0.7420356826419511,0.5414968054509236,0.5317992174264017,0.5340140415275115,0.5265330715683747,
0.163834,0.5012075958182065,0.49455722317014167,0.7269117607904345,0.7214880293863988,0.5218922658656291,0.5124865886134987,0.5132604851324677,0.5080718651254115,
0.180218,0.4828698167595054,0.4784360169478943,0.7063630045334806,0.7025018007982933,0.5026406722121857,0.4947861337430194,0.49550167196069395,0.4911970782762257,
0.196602,0.4668991660850184,0.4635157920081981,0.686779725093587,0.6847976946482879,0.4859251132859162,0.4784284745321793,0.47813675969296326,0.47563256927183684,
0.22937,0.4380373347371904,0.4365900592858391,0.6523738742171656,0.6524921008608315,0.45485970242296403,0.4489968499450503,0.4483798811000997,0.4476794985624728,
0.262138,0.4119846256370668,0.4127865912440007,0.6210711760178437,0.6235178153239576,0.4276900547050621,0.42309885218239673,0.4210896234908526,0.42311667790288504,
