Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,
234.881018,0.0013032185746455482,-0.0014197927270068553,-0.0017021944969141112,-0.002919931942712269,0.0023336529350745927,0.016426388038538825,
268.43545,0.007023732235885927,-0.0021054572146413965,-0.00372975345828086,-0.0032285197410807463,0.006092051928791031,0.015368229558885425,
301.989882,0.0012181556530732607,-0.0026286288229577562,-0.007540064588005602,-0.003461445539541783,0.007207092094631662,0.014554624761280176,
335.544314,0.003991056096725121,-0.003039039420063825,-0.00940813284021036,-0.0036424818692005175,0.008444734913653607,0.01391210515805261,
369.098746,0.012187485238618567,-0.003368292555036025,-0.009616611079192983,-0.003786554366160353,0.0032647128261906744,0.013393603907233322,
402.653178,0.012722629463905344,-0.003637376311383585,-0.0057518039947136446,-0.0039034699105408477,0.006528240754892556,0.012967637496893912,
469.762042,-0.0007878829559569978,-0.004048633601998103,-0.003572259395161703,-0.0040805960568647895,0.018919547803334602,0.012312292615955546,
536.870906,-0.003984861729706468,-0.004345935436939893,-0.00402648845137632,-0.004207355224741142,0.02183514413131582,0.011834866336428279,
603.97977,-0.004778500543821673,-0.004569235548157444,-0.006193449929713157,-0.004301780613235928,0.021333551958365726,0.011473966411267779,
671.088634,-0.00407153640251412,-0.004742067238690643,-0.0031988884880057578,-0.004374364753906557,0.021526583495116824,0.011193112508681831,
738.197498,-0.007957858171307453,-0.004879119350051603,-0.0017425138632890524,-0.004431589367650067,0.022338625114976862,0.01096936115607539,
805.306362,-0.005409335997178744,-0.0049899938587826265,-0.004265476769408916,-0.004477654089428357,0.013973353618665918,0.010787614703924444,
939.52409,-0.0011376904166864321, ,-0.0058912140699466375, ,0.016339612819436633, ,
1073.741818,0.000900554650056451, ,-0.006535230566141359, ,0.025526629289830405, ,
1207.959546,-0.012586880681706325, ,0.00033228404183649474, ,0.02156454524017759, ,
1342.177274,-0.023238599225022916, ,-0.002045486721470424, ,0.01911730430041536, ,
1476.395002,-0.02557346205783939, ,-0.007535315919583341, ,0.009754662477941434, ,
1610.61273,-0.039572595069863103, ,-0.011164607621822475, ,0.012909979126278337, ,
1879.048186,-0.026254693826923248, ,-0.021884267312240246, ,0.023556996357180893, ,
2147.483642,-0.015679900847991757, ,-0.020078610268787767, ,0.024924928648189182, ,
2415.919098,-0.0057148331569065736, ,-0.033102057965521015, ,0.047464197258939134, ,
2684.354554,-0.006916718650542775, ,-0.03195131395245754, ,0.018699299378777123, ,
2952.79001,-0.011621175679824125, ,-0.04515960848134082, ,0.03753269377586377, ,
3221.225466,-0.011144392075512877, ,-0.05927541505448375, ,0.05349003907284833, ,
3758.096378,-0.07288991132452871, ,-0.08298057551098748, ,0.02401855264797592, ,
4294.96729,-0.07522856436610226, ,-0.06744268110592211, ,-0.005166550654408297, ,
4831.838202,-0.05360651744902045, ,-0.06034682692980098, ,-0.06881764704941618, ,
5368.709114,-0.040161193416618834, ,-0.04850811628607876, ,-0.15256330116698147, ,
5905.580026,-0.054504096670334845, ,-0.03123617260723155, ,-0.20719171664996805, ,
6442.450938,-0.08952803705727297, ,0.003240970271368493, ,-0.23176662502425927, ,
