,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
421,0.4197183,0.45757577,0.34153846
422,0.24507043,0.5939394,0.41846153
423,0.36619717,0.35757574,0.44
424,0.1915493,0.48181817,0.3476923
425,0.3802817,0.29393938,0.51384616
426,0.30422536,0.5181818,0.82461536
427,0.45633802,0.24848485,0.64615387
428,0.35211268,0.5272727,0.39076924
429,0.36619717,0.73939395,0.61230767
430,0.6140845,0.47878787,0.4369231
431,0.17746478,0.23939393,0.51384616
432,0.34929577,0.4060606,0.41538462
433,0.16056338,0.3939394,0.5507692
434,0.25915492,0.43333334,0.51076925
435,0.29577464,0.25757575,0.28923076
436,0.3887324,0.43939394,0.34461537
437,0.32957748,0.6363636,0.15076923
438,0.4056338,0.5242424,0.37538463
439,0.5042254,0.5272727,0.59076923
440,0.53521127,0.36363637,0.40307692
441,0.4,0.6181818,0.2923077
442,0.30985916,0.7030303,0.35076922
443,0.28732395,0.4121212,0.46769232
444,0.44225353,0.4878788,0.5692308
445,0.44788733,0.35757574,0.37846154
446,0.42535213,0.29393938,0.5661538
447,0.29859155,0.6727273,0.14769231
448,0.52394366,0.56666666,0.16923077
449,0.29014084,0.6181818,0.25230768
450,0.371831,0.8606061,0.14153846
451,0.23098591,0.57272726,0.18153846
452,0.29295775,0.6393939,0.37538463
453,0.48169014,0.42424244,0.60307693
454,0.34929577,0.5,0.4923077
455,0.515493,0.5212121,0.7446154
456,0.47605634,0.54545456,0.56
457,0.1859155,0.47272727,0.5784615
458,0.36619717,0.46666667,0.17230769
459,0.51267606,0.47272727,0.19384615
460,0.49014086,0.26363635,0.35076922
461,0.32676056,0.55757576,0.48923078
462,0.3774648,0.34545454,0.21846154
463,0.45352113,0.42424244,0.31384614
464,0.36619717,0.4,0.2923077
465,0.10140845,0.45757577,0.4
466,0.70422536,0.5212121,0.28923076
467,0.34366196,0.5272727,0.36307693
468,0.72112674,0.34545454,0.30769232
469,0.5943662,0.11515152,0.3353846
470,0.22535211,0.38181818,0.41538462
471,0.36338028,0.5,0.46153846
472,0.4197183,0.6212121,0.2276923
473,0.54647887,0.630303,0.2676923
474,0.73521125,0.6606061,0.40615386
475,0.3971831,0.36666667,0.16
476,0.515493,0.19393939,0.3723077
477,0.371831,0.3969697,0.2676923
478,0.33802816,0.37272727,0.3353846
479,0.33802816,0.669697,0.3353846
480,0.6253521,0.53636366,0.23692308
481,0.3971831,0.57878786,0.25230768
482,0.3859155,0.6484848,0.35384616
483,0.34929577,0.43030304,0.27076924
484,0.6647887,0.5090909,0.40307692
485,0.5380282,0.23939393,0.46153846
486,0.44507042,0.3272727,0.30769232
487,0.4028169,0.4,0.32
488,0.36338028,0.34242424,0.32307693
489,0.31549296,0.8666667,0.28615385
490,0.45633802,0.2,0.5415385
491,0.6112676,0.45454547,0.3476923
492,0.35774648,0.37272727,0.44
493,0.29295775,0.3060606,0.5415385
494,0.32957748,0.21515152,0.35692307
495,0.4028169,0.46969697,0.34461537
496,0.26478875,0.45151514,0.50461537
497,0.32676056,0.42424244,0.24
498,0.52112675,0.27878788,0.30153847
499,0.27323943,0.3969697,0.2276923
500,0.31549296,0.15757576,0.3476923
501,0.32394367,0.42424244,0.4923077
502,0.4140845,0.3030303,0.31692308
503,0.2197183,0.17272727,0.41230768
504,0.428169,0.33636364,0.41846153
505,0.3774648,0.6,0.39692307
506,0.25070423,0.2969697,0.21538462
507,0.2140845,0.121212125,0.24615385
508,0.2535211,0.5,0.49846154
509,0.5042254,0.53939396,0.46153846
510,0.33239436,0.25151515,0.41846153
511,0.5690141,0.530303,0.6861538
512,0.43661973,0.43030304,0.23384616
513,0.23661971,0.6636364,0.43076923
514,0.26197183,0.58181816,0.61538464
515,0.30422536,0.6121212,0.4430769
516,0.628169,0.6212121,0.20615384
517,0.45070422,0.38484848,0.28
518,0.30140844,0.11212121,0.26153848
519,0.27605635,0.29090908,0.6
520,0.51267606,0.5272727,0.38153845
521,0.26197183,0.5090909,0.4
522,0.45633802,0.5181818,0.6492308
523,0.4394366,0.5090909,0.74153847
524,0.34647888,0.4848485,0.5507692
525,0.45915493,0.34545454,0.48615384
526,0.4028169,0.4212121,0.30153847
527,0.48450705,0.48181817,0.61846155
528,0.4140845,0.43636364,0.4923077
529,0.36338028,0.45454547,0.25230768
530,0.4084507,0.6212121,0.16307692
531,0.50985914,0.47272727,0.14769231
532,0.6253521,0.26363635,0.40615386
533,0.4169014,0.2969697,0.49846154
534,0.36619717,0.56969696,0.43076923
535,0.3887324,0.48181817,0.48
