Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2 fitted model: ,
0.14400000000000002,0.4020999203131877,0.4101764435061056,0.3902617559075732,0.399124874129503,0.3807406073285344,0.39016157731854567,
0.16,0.38389691504699863,0.39434148180694895,0.38058202336520125,0.38266338995791743,0.3715874499113681,0.3741389399215998,
0.176,0.37685695692837845,0.37967045818548906,0.36159213101814824,0.36748762132010626,0.3509388367008931,0.3593611093211873,
0.192,0.35914470031795753,0.36603974670218675,0.3531794214777824,0.3534527955112197,0.3420520780750791,0.3456886331273766,
0.20800000000000002,0.3530908055174934,0.3533426292644198,0.34279988348648743,0.3404350873142638,0.33116555730561037,0.3330021375670603,
0.224,0.3366553683803669,0.3414865006748833,0.3252671297935444,0.3283279626069097,0.31863364964894103,0.3211988393610724,
0.24,0.32625026102998445,0.3303906103600354,0.3159045192878133,0.3170392620034203,0.3090804557034388,0.3101897603461761,
0.256,0.3179839288218866,0.31998422427951784,0.3058255869001463,0.3064888554913413,0.30508636689663365,0.2998974850307593,
0.28800000000000003,0.30319214217834173,0.3009983369804692,0.2944269874843636,0.28733149684443854,0.28318463712181224,0.2812009152746684,
0.32,0.28865777250164854,0.2841122449056078,0.27835657756329285,0.2703913771029295,0.26971841752039616,0.26465972169018936,
0.352,0.2760829185250068,0.2689964923249654,0.26495001443440885,0.2553053953072748,0.25631723201971746,0.24992224385963568,
0.384,0.26301406063416244,0.25538711086087845,0.2542972427294806,0.24178561802517248,0.24722435080334743,0.23670936447375845,
0.41600000000000004,0.25884314570431743,0.24307011845337556,0.24340238687680896,0.22960078566716072,0.2314426564677838,0.2247967210329654,
0.448,0.24117961864424692,0.23187022226922374,0.23235090060334604,0.21856302279119114,0.22227588728123795,0.21400190708905942,
0.48,0.23207586364116276,0.2216424529304819,0.22011864659082175,0.20851812050446186,0.21273040065254364,0.20417510314901374,
0.512,0.21852327843277697,0.21226587947361558,0.21229923028538436,0.19933831883611866,0.2066782611236191,0.19519211086593616,
0.5760000000000001,0.2043650308015997,0.19567518291618063,0.19945221858813889,0.18316388750020143,0.19050937971693602,0.1793586012448166,
0.64,0.1932849027089547,0.1814549411155822,0.18101885555282407,0.16936958282002734,0.1787634979544635,0.16584911988523054,
0.704,0.1831474861314307,0.16913278397069198,0.17060249689441578,0.15746810320357157,0.16803225812089037,0.1541889591715324,
0.768,0.17369969492220866,0.15835398614471513,0.15870667194397725,0.14709661628270093,0.159546893506569,0.1440244002803181,
0.8320000000000001,0.16464759431524248,0.1488469907177586,0.1504031418562977,0.13797940566286243,0.15001354418883117,0.13508647857383901,
0.896,0.15625650224388207,0.14040038565622606,0.14115794620102695,0.12990320758618534,0.1423940859105292,0.12716703515222888,
0.96,0.15025866002450428,0.1328471273155015,0.1354437909081373,0.12270047740977301,0.13608960165187192,0.12010245432382215,
1.024,0.13975679556451054,0.12605348232500718,0.12748574073785274,0.11623776264500199,0.12492935743284748,0.11376235531162905,
1.1520000000000001,0.12585540719135233,0.11433135347232577,0.11629649080706198,0.10512181253131424,0.11744864762136811,0.10285429622425364,
1.28,0.11688075172714611,0.10457859832648445,0.10654907175135804,0.09590778617542631,0.10498690878317586,0.09380964761467978,
1.408,0.11008124672333015,0.09634104668816185,0.09652389920761313,0.08815005664191314,0.09418204789461987,0.08619240151483325,
1.536,0.1010289365033141,0.0892940459642681,0.09256454683615761,0.0815319305514362,0.09250774645851595,0.07969254394365036,
1.6640000000000001,0.09663448377320391,0.08319937468861494,0.0856646520247998,0.0758221756478429,0.08451941608648032,0.07408362249286156,
1.792,0.09505832494038292,0.07787828255098883,0.0824075469272537,0.0708480252696193,0.07817429771170346,0.06919637931679151,
1.92,0.09131539556553189,0.07319402863206258,0.07496955344383259,0.06647780680954139,0.07457744346357345,0.06490177452018162,
2.048,0.08629944558463797,0.0690402304089439,0.07406683041600412,0.06260941592193515,0.06885412035028063,0.06109971693024293,
2.3040000000000003,0.07792122953934376,0.06200478719652271,0.06748743288413628,0.056072798204241305,0.06199601968239527,0.05467385513334966,
2.56,0.07326428109531956,0.05627858084073842,0.06333984286148345,0.05076759352623191,0.05574514734231491,0.04945724422985851,
2.816,0.0657871990085759,0.051532701984034916,0.05638343286044825,0.046381464436988935,0.04961469112901549,0.04514342293114424,
3.072,0.06269793032032225,0.04753949990601006,0.05004228546684782,0.042699021591343624,0.0464793341997192,0.04152098696253756,
3.3280000000000003,0.06126989891212781,0.04413643930477792,0.04890776634435144,0.039566963606998136,0.0439155032019413,0.03843943047966894,
3.584,0.0567212527679105,0.04120440202312162,0.04787640575754703,0.03687324366706442,0.04033146697014921,0.03578872398422686,
3.84,0.05318469190767791,0.03865411976682224,0.04275079542325146,0.034534092943886055,0.0377562447342246,0.033486589739778916,
4.096,0.047845805290581814,0.036417392503161825,0.03797903515987882,0.03248564905399537,0.03825387621791189,0.031470290457143724,
4.6080000000000005,0.039938222733986915,0.03268385887587343,0.03338609357921297,0.029073334472758817,0.03542226342631596,0.028110916736768993,
5.12,0.034749904964440796,0.029698340680221195,0.02882342169836003,0.026351457002448547,0.03147377484571662,0.025430675916711592,
5.632,0.029613409581066636,0.027262192671633267,0.025270305458929342,0.024135344835676174,0.027207522396761805,0.02324803454902676,
6.144,0.028653896850299534,0.025240776766953903,0.02403254858415052,0.022300162452021134,0.025043763955969252,0.021440249852631522,
6.656000000000001,0.026767767426775866,0.023539690612057275,0.020581417244682283,0.020758586199196627,0.026039402318581185,0.019921444188308435,
7.168,0.02298258964222049,0.022090842601970303,0.020827039724101094,0.019447763549718004,0.02409364580624507,0.018629794197930934,
7.68,0.02011688628565175,0.020843925405840277,0.016911593810537893,0.018321347524323184,0.024873820726136867,0.017519703973421192,
8.192,0.020419390934102062,0.019760996457842198,0.017518598839425085,0.017344444651897606,0.020708640473245495,0.016556840069226746,
9.216000000000001,0.0173830016201439,0.017976975593914882,0.015087078598141911,0.015738099805223102,0.0176165265000293,0.014973317483440194,
10.24,0.017640723768974367,0.01657315587751912,0.013076826183260365,0.01447696723161437,0.016858558455036594,0.013729852002914694,
11.264,0.019630938179142667,0.0154438885647932,0.01641325250629785,0.013464509931821644,0.017471319898155622,0.012731401644535623,
12.288,0.016766414067862074,0.014518775247704783,0.017918621953439535,0.012636560563306897,0.0172095919024297,0.011914778810925473,
13.312000000000001,0.014500761351585126,0.013749203221893104,0.01512127268031833,0.01194890824105722,0.015988135141482354,0.01123643897970036,
